SampleName	FQ_One	FQ_Two	files	names	SRR	source_name	age_group	Age	Group
RSq02	SRR1299319_GSM1398961_RSq02_1.5_acinar_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299319_GSM1398961_RSq02_1.5_acinar_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq02/quant.sf	RSq02	SRR1299319	acinar	young	1.5	acinar
RSq03	SRR1299320_GSM1398962_RSq03_33_alpha_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299320_GSM1398962_RSq03_33_alpha_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq03/quant.sf	RSq03	SRR1299320	alpha	old	33	alpha
RSq06	SRR1299321_GSM1398963_RSq06_33_acinar_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299321_GSM1398963_RSq06_33_acinar_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq06/quant.sf	RSq06	SRR1299321	acinar	old	33	acinar
RSq09	SRR1299322_GSM1398964_RSq09_40_alpha_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299322_GSM1398964_RSq09_40_alpha_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq09/quant.sf	RSq09	SRR1299322	alpha	old	40	alpha
RSq10	SRR1299323_GSM1398965_RSq10_40_beta_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299323_GSM1398965_RSq10_40_beta_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq10/quant.sf	RSq10	SRR1299323	beta	old	40	beta
RSq12	SRR1299324_GSM1398966_RSq12_33_beta_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299324_GSM1398966_RSq12_33_beta_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq12/quant.sf	RSq12	SRR1299324	beta	old	33	beta
RSq13	SRR1299325_GSM1398967_RSq13_28_alpha_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299325_GSM1398967_RSq13_28_alpha_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq13/quant.sf	RSq13	SRR1299325	alpha	old	28	alpha
RSq14	SRR1299326_GSM1398968_RSq14_28_beta_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299326_GSM1398968_RSq14_28_beta_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq14/quant.sf	RSq14	SRR1299326	beta	old	28	beta
RSq15	SRR1299327_GSM1398969_RSq15_33_duct_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299327_GSM1398969_RSq15_33_duct_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq15/quant.sf	RSq15	SRR1299327	duct	old	33	duct
RSq16	SRR1299328_GSM1398970_RSq16_66_alpha_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299328_GSM1398970_RSq16_66_alpha_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq16/quant.sf	RSq16	SRR1299328	alpha	old	66	alpha
RSq18	SRR1299329_GSM1398971_RSq18_66_beta_Homo_sapiens_RNA-Seq_1.fastq.gz	SRR1299329_GSM1398971_RSq18_66_beta_Homo_sapiens_RNA-Seq_2.fastq.gz	/Users/mueggeb/Lab_Collaborations/Hughes_Jing/Human_Islets_2021/Bulk/data/RSq18/quant.sf	RSq18	SRR1299329	beta	old	66	beta
